sws_id,precipitation,rainfall,snowfall,snowmelt,air_pressure,air_temperature,relative_humidity,wind_speed,potential_evaporation
3312819,987.0049,524.43176,462.57315,462.74152,96.88178,5.3138313,0.7702103,1.9079331,892.4988
3197528,1000.50055,542.18884,458.3117,460.77423,97.187706,5.4105616,0.7726034,2.106416,898.346
3352683,984.6199,507.33517,477.28473,476.8489,97.04214,5.3978934,0.7713904,2.0339854,898.1711
3407475,1000.1279,533.9897,466.13824,468.6338,97.33878,5.470064,0.77337474,2.2013905,901.356
3418318,966.0185,506.3595,459.659,458.83475,96.463745,5.189764,0.7663339,1.6004801,870.0201
3337914,980.49634,521.83594,458.6604,459.90878,97.02471,5.294098,0.7689291,1.8321042,890.32916
3783406,957.72797,504.7142,453.01376,451.366,96.57019,5.235398,0.7652976,1.5899113,871.9834
3512276,1014.5293,543.3788,471.15048,469.33728,97.4646,5.5034413,0.77365047,2.2562354,902.3611
3497622,1000.11285,539.1472,460.96564,461.78668,97.20933,5.4490666,0.7724688,2.1310434,900.88446
3542932,976.48083,516.83856,459.64227,459.7019,97.16057,5.3335123,0.7682831,1.8383875,893.34485
3527828,983.68445,523.4393,460.24515,460.12943,97.08902,5.364771,0.7699699,1.9407167,896.2455
3578186,969.4872,516.42114,453.06604,452.10953,96.79913,5.2647696,0.766257,1.6814954,883.17285
3383216,966.25,514.1231,452.12692,453.3241,96.674034,5.256136,0.7657318,1.6452155,880.0131
3552985,975.97327,516.74176,459.23154,460.71677,97.01841,5.360783,0.76773137,1.8388802,895.5753
3793307,959.79425,500.36966,459.4246,459.1894,96.63153,5.264987,0.7649963,1.6135877,877.8473
3707392,1013.8219,572.613,441.2089,442.87878,97.415436,5.560346,0.77412677,2.3242037,906.0019
3817654,983.6481,526.86194,456.78616,456.91324,97.29722,5.4924583,0.7720633,2.1460912,903.93744
3582313,1014.052,549.7873,464.26468,465.3425,97.47404,5.532272,0.77392876,2.2930381,904.3722
3892568,997.1989,551.6499,445.549,446.38074,97.29777,5.5423355,0.77329946,2.2519255,905.8531
3732739,983.68774,527.0196,456.66815,457.78952,97.17055,5.475916,0.7712935,2.096037,903.49506
3677879,976.3124,519.847,456.4654,457.56433,97.19806,5.451849,0.76882786,1.9671175,903.26874
3408109,971.38745,517.8463,453.54117,453.47827,96.755745,5.330106,0.766639,1.7628114,891.7272
3727815,982.11444,522.9686,459.1458,459.64804,97.31963,5.4667034,0.76996654,2.0291107,903.8065
3872643,982.9051,529.72736,453.17773,453.82156,97.40284,5.5491996,0.77272916,2.2269323,906.9055
4047291,1012.6715,572.0236,440.6479,441.63626,97.577286,5.6430783,0.7747322,2.440316,910.19507
3757404,996.4491,558.74133,437.70773,437.98306,97.407265,5.634273,0.7745922,2.4069774,909.80176
4123492,954.8764,499.14087,455.73553,456.25827,96.791725,5.298732,0.76378435,1.5675739,873.8269
3833188,967.4355,509.19186,458.24362,457.7734,96.87455,5.329612,0.7653521,1.7038623,889.77594
3843514,950.4658,494.1864,456.27942,456.6053,96.785164,5.2703977,0.76457584,1.5624213,867.92426
3978429,954.3589,500.1232,454.23566,454.9356,96.773506,5.3342805,0.7631043,1.5899539,882.09607
4203159,968.93164,512.4598,456.47186,457.90405,96.97527,5.409956,0.76422143,1.7336174,898.4493
3953275,964.8992,516.3972,448.50195,449.92938,96.76117,5.3353577,0.7642334,1.6561152,887.9458
3987220,1014.7096,510.5051,504.20447,505.4492,97.60752,5.66192,0.77461773,2.4666128,911.2952
3877761,983.56036,530.14825,453.4121,454.63306,97.42109,5.518357,0.7707137,2.10616,906.902
4057475,997.02,558.99194,438.02808,439.59534,97.35626,5.634662,0.7743374,2.3867228,910.1285
4093022,975.54767,522.6154,452.93225,452.99197,96.844,5.4265585,0.7666774,1.8534938,901.46704
3873303,958.2196,502.95868,455.2609,455.78766,96.68025,5.3249125,0.76365924,1.6121964,883.5034
4317540,993.2866,553.0221,440.26456,440.71588,97.38829,5.6906376,0.7742857,2.4245534,913.3718
4347680,978.7117,524.1674,454.54422,457.49725,97.51473,5.632495,0.7724263,2.2821581,912.5714
4102927,976.278,519.6572,456.6208,456.7879,96.97606,5.473908,0.7676473,1.9369693,905.5806
4253115,970.42957,520.0489,450.3807,452.98093,97.00113,5.456867,0.76510584,1.8162228,904.30664
4262598,990.33496,549.1308,441.20413,443.79486,97.37349,5.6526637,0.7737003,2.3620913,911.9743
4117711,978.85583,523.84186,455.01395,457.6306,97.432365,5.6079946,0.7713295,2.2108922,912.3954
4303486,951.1919,496.64725,454.54468,453.9335,96.85585,5.359232,0.7622743,1.5645843,881.0036
4282351,992.5438,554.2976,438.24622,440.37164,97.4931,5.740701,0.7755358,2.5533152,914.51904
4313009,971.61053,523.53595,448.0746,449.89816,97.15062,5.5006638,0.7660906,1.8975664,908.56537
4482504,991.9303,556.82806,435.10226,435.60876,97.47041,5.765807,0.7752405,2.5389013,916.10693
4442272,1013.3562,577.74695,435.60922,437.65488,97.671524,5.7765794,0.7757781,2.6214864,916.4837
4172227,1012.99695,512.9296,500.06735,501.43863,97.64568,5.7430706,0.7751666,2.5787215,915.67633
4303305,960.264,498.90155,461.36243,460.89624,96.815315,5.4129834,0.7620327,1.6363863,895.0285
4387828,972.75037,524.7934,447.95694,449.0432,97.230644,5.612749,0.77015984,2.1644123,914.2158
4333836,931.1339,506.41595,424.71793,425.91714,96.77983,5.382396,0.7651943,1.6059988,867.3161
4227467,991.97327,557.0315,434.94177,434.8075,97.47992,5.7487483,0.7754316,2.5435665,914.9805
4352299,1004.0078,569.58923,434.41855,436.78745,97.5741,5.8004336,0.7760868,2.6400437,916.9342
4453789,933.7462,513.8926,419.8536,420.49692,96.94396,5.3883696,0.76371646,1.5749052,870.6932
4357882,972.4186,521.30145,451.11716,450.34918,97.14595,5.579155,0.7685939,2.0698564,913.48706
4567958,971.1534,520.6979,450.4555,451.52594,97.27638,5.6010103,0.7672469,2.0343716,916.5718
4618564,949.00507,520.8323,428.1728,429.2175,96.676575,5.412587,0.760893,1.5482063,884.655
4392625,977.5376,542.8356,434.70206,436.38873,97.42616,5.741783,0.7738736,2.4423003,917.033
4433380,955.5022,503.32703,452.17517,452.29578,96.84289,5.441073,0.7606594,1.6004763,896.0098
4533483,951.60864,497.04242,454.56625,454.58298,96.90499,5.4402947,0.76029885,1.5755987,893.4913
4648747,943.3076,518.05005,425.25757,427.19614,96.917915,5.4273744,0.76186454,1.5531029,877.9405
4252247,1012.7025,511.85062,500.8519,503.38513,97.65288,5.8415165,0.7761842,2.7149687,919.6108
4612870,968.3617,521.83594,446.52573,446.94296,97.327644,5.6578517,0.7691642,2.162079,918.78864
4748508,953.05554,501.8739,451.18164,450.77222,96.88041,5.4608526,0.7595194,1.5539817,893.527
4458656,947.5128,523.163,424.3498,425.29398,96.76757,5.406991,0.7617105,1.5463322,878.3527
4708115,968.99445,509.6879,459.30655,460.5393,97.08882,5.5524464,0.76264226,1.8076216,914.67944
4573219,964.0424,518.20953,445.8329,446.19095,96.88876,5.491683,0.7615798,1.7030953,906.7342
4577140,1013.1299,515.2837,497.84616,500.40982,97.719444,5.843822,0.7758889,2.719786,920.5587
4368060,970.4321,511.3029,459.1292,459.0031,97.11867,5.5231414,0.7636002,1.8182557,911.37067
4477978,971.2837,516.9477,454.33603,455.69955,97.331955,5.5757914,0.7658357,1.9553523,915.57886
4532691,976.6986,543.6831,433.01553,436.6957,97.58397,5.7421494,0.77307475,2.4037683,918.44354
4578871,931.9187,509.39526,422.52344,422.8192,97.007866,5.450144,0.7634558,1.5976688,876.27655
4553939,923.4051,548.01154,375.39355,377.7801,97.233055,5.4697695,0.7646006,1.6392957,877.9558
4637722,975.7839,536.07446,439.7094,441.4394,97.48487,5.739686,0.77164924,2.3367076,920.70294
