LOC_ID,INT_ID,LOC_NAME,LOC_NAME_ALT1,SCREEN_NAME,LAT,LONG,Z,FORMATION,SCREEN_DIAMETER_CM,SCREEN_TOP_DEPTH_M,WL_AVG_MASL,WL_AVG_TOTAL_NUM,WL_START_DATE_MDY,WL_END_DATE_MDY
218441920,1557376261,PGMN - LSRCA - W0000062,LSRCA - Blue Circle (PGMN),PGMN - LSRCA - W0000062,44.328433990478516,-79.01412963867188,269.5205383300781,Lower Newmarket (ORMGP),5.079999923706055,7.193267822265625,268.3482360839844,112900,07/30/2001,04/15/2015
241559511,241547696,CRA-BH98-07,BH 98-07 (SE Collector),CRA-BH 98-07,43.868412017822266,-79.19583129882812,180.25363159179688,,,,164.57247924804688,48,01/23/2008,12/13/2011
241580868,241570350,PGMN - KRCA - W0000495,KRCA - Galway Rd Near Ewan (PGMN),PGMN - KRCA - W0000495,44.793209075927734,-78.48335266113281,324.3143310546875,Bedrock - Undifferentiated (ORMGP),15.239999771118164,6.0960001945495605,318.8403625488281,39,12/22/2011,07/19/2019
1136934529,109404379,King City MW 3,York - King City - MW 3 (CRA MW3D-04),King City MW 3s,43.93288040161133,-79.53578186035156,277.9670104980469,Halton Till,7.619999885559082,5.790008544921875,276.2358093261719,398713,05/20/2004,03/09/2022
1136934529,350675630,King City MW 3,York - King City - MW 3 (CRA MW3D-04),King City MW 3d,43.93288040161133,-79.53578186035156,277.9670104980469,Thorncliffe (ORMGP),7.619999885559082,104.55000305175781,272.8081970214844,388475,05/20/2004,03/09/2022
1145419422,587278038,PGMN - GRCA - W0000348,GRCA - Plainville Works (PGMN),PGMN - GRCA - W0000348,44.08326721191406,-78.2197036743164,252.6999969482422,Inter Newmarket Sediment (ORMGP),7.619999885559082,13.039993286132812,250.83074951171875,87338,04/25/2003,02/22/2019
2017770185,1738830771,Milton - Kelso PW 6,Halton - Milton - Kelso PW 6 (REGION OF HALTON),Milton - Kelso PW 6,43.51447651750518,-79.94377443387457,242.49000549316406,Mackinaw/Oak Ridges (ORMGP),40.63999938964844,57.60719299316406,207.44329833984375,109,10/03/1994,07/06/2005
240001845,240001589,Milton - Walkers Line TW 1-89,Halton - Milton - Walkers Line TW 1-89,Milton - Walkers Line TW 1/89 (1.25 inch),43.463219906808234,-79.93455533004516,254.55760192871094,Bedrock - Undifferentiated (ORMGP),3.174999952316284,25.908004760742188,250.66143798828125,1239,06/21/1989,08/16/2005
1006128421,240644452,Alton 4A,Peel - Alton - PW 4A,Alton 4A raw,43.8636575999494,-80.06571783390349,394.69000244140625,Mackinaw/Oak Ridges (ORMGP),16.827499389648438,13.71600341796875,393.0638732910156,264,02/28/2018,06/29/2023
-2147483451,-2147483543,Caledon East SG 12-07,Peel - Caledon East - SG 12-07,Caledon East SG 12/07,43.877939535071455,-79.8705328842156,302.0400085449219,,,,302.2731628417969,105054,04/21/2008,06/21/2023
-2147483450,-2147483542,Caledon East SG 16R-09,Peel - Caledon East - SG 16R-09,Caledon East SG 16R/09,43.87598526216197,-79.88699965999056,329.1600036621094,,,,329.833740234375,32989,04/13/2011,06/21/2023
242204918,242179726,Inglewood OWNd,Peel - Inglewood - OWNd,Inglewood OWNd,43.81396081543949,-79.93443164479119,277.239990234375,Sunnybrook (ORMGP),15.0,53.900001525878906,269.2823486328125,29357,11/17/2014,06/23/2023
360000003,704364660,Alton SG 4R-10,Peel - Alton - SG 4R-10,Alton SG 4R-10,43.86401780278537,-80.0657246523736,391.4700012207031,,,,391.7005920410156,24765,04/15/2011,06/20/2023
-847483637,-847483635,Caledon East PW 6,Peel - Caledon East - PW 6,Caledon East PW 6,43.85414450041349,-79.83570818459745,295.5198974609375,Scarborough (ORMGP),24.1299991607666,149.96160888671875,274.7056884765625,44,03/10/2020,08/21/2020
-847483636,-847483634,Caledon East TW D,Peel - Caledon East - TW D,Caledon East TW D,43.85391323972975,-79.83598641423528,295.6048889160156,Scarborough (ORMGP),35.55999755859375,148.6999969482422,277.63873291015625,25651,02/27/2019,06/22/2023
