"INT_ID","LOC_ID","LOC_NAME","LOC_NAME_ALT1","SCREEN_NAME","LAT","LONG","Z","FORMATION","SCREEN_DIAMETER_CM","SCREEN_TOP_DEPTH_M","WL_AVG_MASL","WL_AVG_TOTAL_NUM","WL_START_DATE_MDY","WL_END_DATE_MDY","nValues","MannKendall10yrTau","MannKendall10yrPstat","MannKendall10yrText","GAMrange"
1452291968,1452291968,"Cannington MW 6 (PW 6)","Durham - Cannington - MW 6 (PW 6) (TH 11-74)","Cannington-MW6",44.3482284545898,-79.0291595458984,259.404998779297,"Bedrock - Undifferentiated (ORMGP)",25.3999996185303,6.09599304199219,255.020751953125,2946,"01/01/2001","07/13/2012",2926,NA,NA,NA,0.491642838722796
1464336738,-1526185088,"Georgetown OW 1-00","Halton - Georgetown - OW 1-00","Georgetown OW 1-00 d",43.6029891967773,-79.9350128173828,259.882507324219,"Thorncliffe (ORMGP)",5.07999992370605,39.6239929199219,258.253631591797,42524,"09/06/2000","06/11/2021",1772,0.201636469900643,0.0244753906225454,"MK increasing trend",0.524914997738403
1477941490,1121954263,"PGMN - TRCA - W0000382","TRCA - Milne Park (PGMN)","PGMN - TRCA - W0000382",43.8654098510742,-79.2754287719727,180.679992675781,"Lower Newmarket (ORMGP)",6.34999990463257,17.3999938964844,169.803436279297,140488,"07/14/2003","06/16/2023",5793,-0.0666077217801356,0.288049852871279,"MK no trend",0.135790917973423
1507172639,-1454736246,"PGMN - TRCA - W0000017","TRCA - North York MOE OW #090A (PGMN)","PGMN - TRCA - W0000017",43.7573547363281,-79.4307479858398,146.570007324219,"Scarborough (ORMGP)",40.6399993896484,39.9288024902344,145.987915039062,64748,"08/09/2001","02/03/2010",2685,NA,NA,NA,0.0937235039719742
1544090649,-1320773612,"PGMN - LSRCA - W0000298-2 (41 ft) Baldwin","LSRCA - Baldwin BH 1/03 - Shallow (PGMN)","PGMN - LSRCA - W0000298-2 (7m -s)",44.2626342773438,-79.3359298706055,230.503402709961,"Mackinaw/Oak Ridges (ORMGP)",5.07999992370605,2.84378409385681,230.029708862305,117031,"02/20/2003","01/16/2017",4877,-0.317073170731707,0.00320075211261872,"MK decreasing trend",0.650667068164644
1557376261,218441920,"PGMN - LSRCA - W0000062","LSRCA - Blue Circle (PGMN)","PGMN - LSRCA - W0000062",44.3284339904785,-79.0141296386719,269.520538330078,"Lower Newmarket (ORMGP)",5.07999992370605,7.19326782226562,268.348236083984,112900,"07/30/2001","04/15/2015",4675,-0.05,0.821891691251159,"MK no trend",0.647250972777102
1575246929,-67485989,"Ballantrae MW 11s","York - Ballantrae - MW 11s","Ballantrae MW 11s",44.0414276123047,-79.2995071411133,338.536010742188,"Mackinaw/Oak Ridges (ORMGP)",5.07999992370605,26.8200073242188,326.840942382812,116200,"03/31/2010","11/15/2016",2385,-0.67948717948718,7.12005787661951e-10,"MK decreasing trend",0.165366698386999
1586929678,360000081,"PGMN - NVCA - W0000505/506/507","PGMN - NVCA - BH 08-2 (Melancthon Quarry)","PGMN - NVCA - W0000507-1(deep)",44.227165222168,-80.2746353149414,516.88037109375,"Bedrock - Undifferentiated (ORMGP)",5.09999990463257,76,508.720672607422,38849,"04/24/2008","11/09/2022",1587,0.0857142857142857,0.35452545869468,"MK no trend",1.8350434008075
1601977576,-1277672895,"PGMN - HRCA - W0000005-1","HRCA - Garden Lane (CORP - FLAMBOROUGH) (PGMN)","PGMN - HRCA - W0000005-1",43.3668778013792,-79.9554329635397,263.799987792969,"Upper Newmarket (ORMGP)",15.875,12.4967956542969,258.1826171875,158176,"04/15/1997","03/19/2021",6594,0.20385426076483,0.00678918293091035,"MK increasing trend",0.312713341105135
1612139979,1209095088,"PGMN - HRCA - W0000125-1","HRCA - Union Gas (CONSERVATION HALTON) (PGMN)","PGMN - HRCA - W0000125-1 d",43.5078649353741,-79.8504557683186,196.809387207031,"Bedrock - Undifferentiated (ORMGP)",5.07999992370605,11.88720703125,193.619537353516,141103,"12/06/2001","01/15/2021",5471,0.121518987341772,0.111556540165481,"MK no trend",0.537525790605201
