CNT,INT_ID,LAT,LOC_ID,LOC_NAME,LOC_NAME_ALT1,LONG,QUAL,SW_DRAINAGE_AREA_KM2,YRb,YRe,LOC_MASTER_LOC_ID,meanQ,k,BFI
6153,-1586154519,43.979122161865234,2147456354,02HD023,MACKIE CK NEAR HAMPTON,-78.68031311035156,0.9854260089686091,14.739999771118164,2006,2023,2147456354.0,0.2618418912129968,0.9569070865655014,0.723024353496598
14336,-1400474601,43.265594482421875,-1400474601,02HB007,SPENCER CK AT DUNDAS,-79.96416473388672,0.610016595038508,169.0,1959,2023,-1400474601.0,1.9912354745200236,0.9246996749554732,0.640917678024634
7650,-1320318983,43.421409606933594,-1320318983,02HB027,FOURTEEN MILE CK AT OAKVILLE,-79.70315551757812,0.9967426710097711,24.450000762939453,2002,2023,,0.31429028879325077,0.8717456636843656,0.30592220897701283
7030,-1274372922,43.92443084716797,-1274372922,02HC051,CENTREVILLE CK - NEAR ALBION,-79.83443450927734,0.9991472427515631,42.0,2002,2021,,0.4161769559108787,0.9257027939454157,0.6903329571079049
7429,-1118703211,43.95907211303711,-1118703211,02HC054,LYNDE CK - AT BROOKLIN,-78.95997619628906,0.9666883539362391,39.0099983215332,2002,2023,,0.3609713326057873,0.9176235066210933,0.571555698495377
7138,-978532688,43.9648323059082,-978532688,02HD019,COBOURG CK AT COBOURG,-78.18480682373047,0.9297902826624981,122.08999633789062,2002,2023,,1.7224696734811866,0.9376420371688861,0.6045180576724637
12646,-548545832,43.28302001953125,-548545832,02HB023,SPENCER CK AT HIGHWAY NO. 5,-80.05278015136719,0.9557134220072551,132.0,1987,2023,,1.5651989406358557,0.9081739590721487,0.6527936985986303
11550,-485176429,43.231101989746094,-485176429,02HB021,ANCASTER CK - AT ANCASTER,-79.97388458251953,0.8605916101631771,9.140000343322754,1986,2023,,0.08815834140031706,0.9424684380951053,0.6598067537503705
8542,-223407604,43.26496887207031,-223407604,02HB010,SPENCER CK AT DUNDAS CROSSING,-79.96471405029297,1.0,166.0,1960,1984,-1400474601.0,1.8040093644963697,0.9090603465097983,0.6184049188834816
39400,148405,43.83589172363281,149222,02HB001,CREDIT RIVER NEAR CATARACT,-80.02288818359375,0.998859170997591,208.75,1915,2023,,1.8203409301784903,0.9249237888879771,0.7239366300211922
16547,148406,43.54279708862305,149223,02HB002,CREDIT RIVER AT ERINDALE,-79.65721893310547,0.9446252212136781,795.0,1945,1993,,8.325924762339886,0.907250777268472,0.628112198155792
24199,148408,43.49920654296875,149225,02HB004,EAST OAKVILLE CK NEAR OMAGH,-79.77677917480469,0.9979792147806,192.99000549316406,1956,2023,,1.6253697116428039,0.8859010000055761,0.4130480080646473
23415,148409,43.513858795166016,149226,02HB005,OAKVILLE CK AT MILTON,-79.87971496582031,0.967561983471074,101.2699966430664,1957,2023,,1.2161706100227703,0.90202401578864,0.6576097068998801
22728,148410,43.64653778076172,149227,02HB008,CREDIT RIVER WEST BRANCH AT NORVAL,-79.86627960205078,0.9941387455165771,130.99000549316406,1960,2023,,1.3331003570620628,0.9362539980249289,0.6675676322768884
16130,148411,43.4369010925293,149228,02HB011,BRONTE CK - NEAR ZIMMERMAN,-79.86433410644531,0.741029999540588,241.99000549316406,1963,2023,,2.7002291866739183,0.9288433554540618,0.728006154477696
20255,148412,43.8912353515625,149229,02HB013,CREDIT RIVER NEAR ORANGEVILLE,-80.06239318847656,0.997488427065891,60.58000183105469,1967,2023,,0.5991356142319877,0.9263989063827994,0.7344549608565427
16450,148413,43.35309982299805,149230,02HB015,SPENCER CK NEAR WESTOVER,-80.07788848876953,0.8675702758293331,63.5,1971,2023,,0.6409819462260254,0.9412377356370949,0.7053808765673011
14806,148415,43.773536682128906,149232,02HB018,CREDIT RIVER AT BOSTON MILLS,-79.92683410644531,0.9969699010167661,414.70001220703125,1982,2023,,4.6912865720293775,0.9307625678791721,0.756088607666344
14616,148417,43.771827697753906,149234,02HB020,CREDIT RIVER ERIN BRANCH ABOVE ERIN,-80.09363555908203,0.9980198019801981,32.29999923706055,1983,2023,,0.4891465416238887,0.9622741532066259,0.7721585662681636
12306,148418,43.38889694213867,149235,02HB022,BRONTE CK - AT CARLISLE,-79.98810577392578,0.9968408262454431,123.41999816894531,1989,2023,,1.2977935959043594,0.9353277048403489,0.7478094063123232
9910,148419,43.62932586669922,149236,02HB024,BLACK CK - BELOW ACTON,-80.01042175292969,0.9941813804173351,18.899999618530273,1987,2014,,0.2354276488962702,0.9388945556764052,0.7229158595556792
12537,148420,43.647605895996094,149237,02HB025,CREDIT RIVER AT NORVAL,-79.85599517822266,0.9942109436954791,644.8400268554688,1988,2023,,6.827962201479083,0.9324862141927467,0.7265938686305737
5901,148422,43.62666320800781,149239,02HC002,ETOBICOKE CK - NEAR SUMMERVILLE,-79.56417083740234,0.950394588500563,166.0,1945,1962,,1.3397246227435384,0.8170689626931175,0.34215005201505566
28048,148423,43.69894790649414,149240,02HC003,HUMBER RIVER AT WESTON,-79.52039337158203,0.989661620973148,802.0399780273438,1945,2023,,6.460646939972955,0.9015848069470962,0.5130714370441409
6702,148424,43.772193908691406,149241,02HC004,LITTLE DON RIVER NEAR LANSING,-79.36528778076172,0.9466101694915251,119.0,1945,1965,,0.9760229768416606,0.9495679263907023,0.4748272906538271
22932,148425,43.74022674560547,149242,02HC005,DON RIVER AT YORK MILLS,-79.40313720703125,0.8091457605589071,88.0999984741211,1945,2023,,0.93854606864524,0.9083435853334565,0.4438354107523772
14587,148426,43.85280990600586,149243,02HC006,DUFFINS CK AT PICKERING,-79.06221771240234,0.9024933490069911,249.0,1945,1989,,2.8369071748997174,0.8936413308341045,0.6239757537617763
25389,148429,43.79006576538086,149246,02HC009,EAST HUMBER R - NEAR PINE GROVE,-79.58441925048828,0.9988197804791691,190.91000366210938,1953,2023,,1.2936415519544433,0.9003466790079273,0.5528320184520595
9017,148432,43.92829132080078,149249,02HC012,HUMBER RIVER NEAR CEDAR MILLS,-79.81583404541016,1.0,169.0,1957,1981,,1.4767153157476736,0.9189146806239643,0.6593052996430776
20941,148433,43.77821731567383,149250,02HC013,HIGHLAND CK NEAR WEST HILL,-79.19147491455078,0.860954651975496,89.05999755859375,1956,2023,,1.1994291376578663,0.9307027865768933,0.38144191601268745
17483,148437,43.69161605834961,149254,02HC017,ETOBICOKE CK - AT BRAMPTON,-79.75939178466797,0.7313532733737711,68.5999984741211,1957,2023,,0.6494777516790736,0.8439817985744511,0.34555693814617267
21480,148438,43.875526428222656,149255,02HC018,LYNDE CK NEAR WHITBY,-78.9603271484375,0.950190214987171,100.2699966430664,1959,2021,,0.9834512567598529,0.8791727393213705,0.5118098568211609
21336,148439,43.89129638671875,149256,02HC019,DUFFINS CK ABOVE PICKERING,-79.05927276611328,0.9304435044263221,93.5,1960,2023,,1.2160407276238794,0.9261845050153926,0.6427680820909257
21916,148440,43.85837936401367,149257,02HC022,ROUGE RIVER NEAR MARKHAM,-79.23355865478516,0.9754751413183781,181.30999755859375,1961,2023,,1.7298810052228935,0.8789226640290371,0.4653858506792909
18108,148441,43.887977600097656,149258,02HC023,COLD CK NEAR BOLTON,-79.71753692626953,0.818181818181818,62.20000076293945,1962,2023,,0.5025710971688923,0.9325048391502008,0.6477635517291109
21941,148442,43.685882568359375,149259,02HC024,DON RIVER AT TODMORDEN,-79.36150360107422,0.9922666425470331,318.5,1962,2023,,4.084330292659951,0.9307354532939799,0.5033915600299539
20711,148443,43.81129837036133,149260,02HC025,HUMBER RIVER AT ELDER MILLS,-79.62757873535156,0.9356674949175511,296.2799987792969,1962,2023,,2.560414734757306,0.9203006694268435,0.6523176483509409
8397,148444,43.90217971801758,149261,02HC026,WEST DUFFINS CREEK AT GREEN RIVER,-79.18472290039062,0.9367469879518071,98.0999984741211,1963,1988,,1.1239967842180292,0.8812376215431572,0.5540744471598682
20736,148445,43.67424774169922,149262,02HC027,BLACK CK - NEAR WESTON,-79.50436401367188,0.9988439306358381,58.0,1966,2023,,0.8366857309424524,0.9136022618196303,0.34667691769951875
21608,148446,43.907901763916016,149263,02HC028,LITTLE ROUGE CK NEAR LOCUST HILL,-79.21627807617188,0.996173528191415,83.58000183105469,1963,2023,,0.8770031929030764,0.8788457489888645,0.4565448960657521
11662,148447,43.75749588012695,149264,02HC029,LITTLE DON RIVER AT DON MILLS,-79.34500122070312,1.0,130.0,1964,1996,,1.5368732643733607,0.9133583486768649,0.4779718323854892
20599,148448,43.60171127319336,149265,02HC030,ETOBICOKE CK - BELOW QUEEN ELIZABETH HIGHWAY,-79.55632781982422,0.9965168593681961,204.99000549316406,1966,2023,,2.453258592836848,0.8538270445718567,0.3130397726077766
19476,148449,43.75833511352539,149266,02HC031,WEST HUMBER RIVER AT HIGHWAY NO. 7,-79.67893981933594,0.925841414717626,142.17999267578125,1965,2023,,1.1358773943257994,0.844671508223394,0.3132611827955011
16942,148450,43.90277862548828,149267,02HC032,EAST HUMBER R - AT KING CREEK,-79.61277770996094,0.8053812511884381,94.80000305175781,1965,2023,,0.6305447681728648,0.9140124131546312,0.5513291060053949
20152,148451,43.64734649658203,149268,02HC033,MIMICO CK AT ISLINGTON,-79.51969146728516,0.9580223437128591,67.7699966430664,1965,2023,,0.8453784054491232,0.9245141836838908,0.25841943809468587
6142,148452,43.737762451171875,149269,02HC034,WEST HUMBER RIVER BELOW CLAIREVILLE DAM,-79.62944030761719,1.0,194.0,1965,1982,,1.2698583533340577,0.8762830608124763,0.2721392267336561
11534,148456,43.9157829284668,149273,02HC038,WEST DUFFINS CREEK ABOVE GREEN RIVER,-79.17952728271484,0.642276422764227,52.0,1974,2023,149273.0,0.6433302993847011,0.8986030598065564,0.6272123974510004
7155,148457,43.935298919677734,149274,02HC039,REESOR CK ABOVE GREEN RIVER,-79.20083618164062,1.0,38.29999923706055,1974,1993,1000026403.0,0.4036586999481867,0.9008559857685817,0.5512944843759113
12437,148465,43.9284553527832,149282,02HC047,HUMBER RIVER NEAR PALGRAVE,-79.82300567626953,0.8120266388090881,163.5399932861328,1981,2023,,1.598454975922749,0.9179365127535988,0.7091774622980339
12369,148467,43.84892654418945,149284,02HC049,DUFFINS CK AT AJAX,-79.05610656738281,0.998063422900024,257.4599914550781,1989,2023,,2.8437634612416294,0.9277554082607593,0.5862406511304235
9073,148475,43.98529815673828,149292,02HD002,GANARASKA RIVER NEAR DALE,-78.30166625976562,1.0,262.0,1950,1975,,3.354564972017377,0.9355726377844475,0.6710964600346097
22185,148476,44.015167236328125,149293,02HD003,GANARASKA RIVER NEAR OSACA,-78.43746948242188,0.9372623574144481,67.30000305175781,1958,2023,,1.1338169563144922,0.9406828860932972,0.7532968288148765
18115,148477,44.01717758178711,149294,02HD004,NORTH WEST GANARASKA RIVER NEAR OSACA,-78.43875122070312,0.7713762561744161,46.06999969482422,1958,2022,,0.49789218891986764,0.9283816326106874,0.6968498391674784
18849,148478,43.92148971557617,149295,02HD006,BOWMANVILLE CK - AT BOWMANVILLE,-78.70199584960938,0.8052719272012641,80.94000244140625,1959,2023,,1.3404873210175916,0.9268623273298474,0.6618171929638392
9342,148479,43.90225601196289,149296,02HD007,SOPER CK AT BOWMANVILLE,-78.6725082397461,0.905759162303664,77.69999694824219,1959,1987,,0.8682418113482269,0.8855237517050728,0.6144084260269661
23028,148480,43.93027877807617,149297,02HD008,OSHAWA CK - AT OSHAWA,-78.89153289794922,0.9838082624855811,95.79000091552734,1959,2023,,1.129470016471655,0.9162074679571712,0.6534821389035027
19668,148481,43.93022918701172,149298,02HD009,WILMOT CREEK NEAR NEWCASTLE,-78.61880493164062,0.9296653431650591,80.73999786376953,1965,2023,,1.0175982509186223,0.9418303421496308,0.6860063301019119
21046,148482,43.99184799194336,149299,02HD010,SHELTER VALLEY CK NEAR GRAFTON,-78.00122833251953,0.9978663885069461,63.77000045776367,1965,2023,,0.8422480164066639,0.9431016679434409,0.6873452769950588
16948,148483,43.990962982177734,149300,02HD012,GANARASKA RIVER ABOVE DALE,-78.32819366455078,0.998291806561818,241.8699951171875,1976,2023,,3.285127499714187,0.9443420263920933,0.710444254799854
