name,group,typ
/database-manual/Appendices/G_Procedures/tg_10_11_01_purposes.pdf,7,2
/database-manual/Appendices/G_Procedures/G_11.html,7,2
/database-manual/Appendices/G_Procedures/G_12.html,7,2
/database-manual/Appendices/G_Procedures/G_13.html,7,2
/database-manual/Appendices/G_Procedures/G_14.html,7,2
/database-manual/Appendices/G_Procedures/G_15.html,7,2
/database-manual/Appendices/G_Procedures/G_16.html,7,2
/database-manual/Appendices/G_Procedures/G_17.html,7,2
/database-manual/Appendices/G_Procedures/G_18.html,7,2
/database-manual/Appendices/G_Procedures/G_19.html,7,2
/database-manual/Appendices/G_Procedures/G_20.html,7,2
/database-manual/Appendices/G_Procedures/G_21.html,7,2
/database-manual/Appendices/G_Procedures/G_22.html,7,2
/database-manual/Appendices/G_Procedures/G_23.html,7,2
/database-manual/Appendices/G_Procedures/G_24.html,7,2
/database-manual/Appendices/G_Procedures/G_25.html,7,2
/database-manual/Appendices/G_Procedures/G_26.html,7,2
/database-manual/Appendices/G_Procedures/G_27.html,7,2
/database-manual/Appendices/G_Procedures/G_28.html,7,2
/database-manual/Appendices/G_Procedures/G_29.html,7,2
/database-manual/Appendices/G_Procedures/G_30.html,7,2
/database-manual/Appendices/G_Procedures/G_31.html,7,2
/database-manual/Appendices/G_Procedures/G_32.html,7,2
/database-manual/Appendices/G_Procedures/G_33.html,7,2
/database-manual/Appendices/G_Procedures/G_34.html,7,2
/database-manual/Appendices/G_Procedures/G_35.html,7,2
/database-manual/Appendices/H_Current_Problems/H_Current_Problems.html,7,2
/database-manual/Appendices/I_Training_Setup/I_Training_Setup.html,7,2
/database-manual/Appendices/J_Training_Exercises/J_1_Easy.html,7,2
/database-manual/Appendices/J_Training_Exercises/J_2_Moderate.html,7,2
/database-manual/Appendices/J_Training_Exercises/J_3_Difficult.html,7,2
/database-manual/Appendices/K_Alternate_Software/K_Alternate_Software.html,7,2
/database-manual/Appendices/L_Database_Reports/L_Database_Reports.html,7,2
/database-manual/Appendices/M_ORMGP_Links/M_ORMGP_Links.html,7,2
https://owrc.github.io/HydrographExplorerHelp/,8,1
/interpolants/interpolation/daily.html,6,2
/interpolants/modelling/waterbudget/data.html,6,2
/interpolants/interpolation/fews.html,6,2
/interpolants/modelling/waterbudgetmodel.html,6,2
https://owrc.github.io/interpolants/,6,1
/info/md/geology.html,9,2
/info/md/drilling.html,9,2
/info/md/bedrock.html,9,2
/info/md/sedimentology.html,9,2
/snapshots/md/picks.html,10,2
https://owrc.github.io/monitoring/,11,1
/interpolants/interpolation/overland.html,6,2
/interpolants/interpolation/subwatershed.html,6,2
/interpolants/interpolation/landuse.html,6,2
/interpolants/interpolation/watercourses.html,6,2
/interpolants/interpolation/climate-sources.html,6,2
/interpolants/sources/webscraping.html,6,2
/interpolants/interpolation/climate-interpolation.html,6,2
/interpolants/interpolation/barometry.html,6,2
/snapshots/md/gantt-met.html,10,2
/interpolants/interpolation/hourly.html,6,2
/interpolants/modelling/waterbudget/snowmeltCCF.html,6,2
/interpolants/interpolation/calc/panET/PanEvaporation.html,6,2
https://owrc.github.io/webmapping/,12,1
/snapshots/md/numerical-model-custodianship-program.html,10,2
/info/solarradiation/,9,2
/info/evaporation/,9,2
https://owrc.github.io/shinyapps-manual/,13,1
/info/hydrographseparation,9,2
/info/hydrographseparation/maths/lyne-hollick.html,9,2
/info/hydrographseparation/maths/chapman91.html,9,2
/info/hydrographseparation/maths/chapman-maxwell.html,9,2
/info/hydrographseparation/maths/boughton-eckhardt.html,9,2
/maths/jakeman-hornberger.html,14,2
/maths/tularamIlahee.html,14,2
/info/recessioncoefficient,9,2
/info/hydrographseparation/,9,2
/info/hydrographdisaggregation/,9,2
https://owrc.github.io/watertable/,15,1
/interpolants/sources/clipnship.html,6,2
/interpolants/modelling/particleTracking/,6,2
/info/lia/,9,2
/info/pmflow/,9,2
/info/geothermal/,9,2
/info/ann/,9,2
/interpolants/modelling/waterbudget/gw.html,6,2
/interpolants/modelling/waterbudget/sma.html,6,2
/interpolants/glossary.html,6,2
/interpolants/modelling/waterbudget/overlandflow.html,6,2
/info/recessioncoefficient/,9,2
/interpolants/interpolation/calc/rdpa-criticalTemperature/rdpa-criticalTemperature.html,6,2
/interpolants/modelling/hydroparse.html,6,2
https://owrc.github.io/snapshots/,10,1
/snapshots/md/cum-bh.html,10,2
/snapshots/md/gantt-gw.html,10,2
/snapshots/md/gantt-sw.html,10,2
/snapshots/md/gwvar.html,10,2
/snapshots/md/hydraulicProperties.html,10,2
/snapshots/md/met-annuals.html,10,2
/snapshots/md/baseflow-piechart.html,10,2
/snapshots/md/chem-chloride.html,10,2
/snapshots/md/chem-isotopes.html,10,2
https://owrc.github.io/GeoLayers/,16,1
https://owrc.github.io/info/,9,1
/info/md/database.html,9,2
/info/md/climate.html,9,2
/info/md/planning.html,9,2
/info/md/hydrogeology.html,9,2
/info/md/hydraulicproperties.html,9,2
/info/md/hydrostratigraphicunits.html,9,2
/info/md/hydrogeologicanalysis.html,9,2
/info/md/gwflow.html,9,2
/info/md/waterbudget.html,9,2
/info/md/streamflow.html,9,2
/info/md/numericalmodelling.html,9,2
